tweet_id	retweet_count	favorite_count
833732339549220864	237	0
833722901757046785	3494	21959
833479644947025920	2256	15785
833124694597443584	5280	21438
832998151111966721	2424	14138
832769181346996225	40	0
832757312314028032	3956	17868
832682457690300417	3198	12625
832645525019123713	566	3100
832636094638288896	3055	16856
832397543355072512	2430	12692
832369877331693569	3472	18213
832273440279240704	2548	12016
832215909146226688	6769	0
832215726631055365	10260	0
832088576586297345	2	71
832040443403784192	10625	0
832032802820481025	5091	18969
831939777352105988	6703	25520
831926988323639298	36	362
831911600680497154	7129	29424
831670449226514432	1987	11107
831650051525054464	2125	7631
831552930092285952	2508	9581
831322785565769729	1666	9762
831315979191906304	1218	6936
831309418084069378	2666	12460
831262627380748289	2244	12671
830956169170665475	1640	8488
830583320585068544	18456	71224
830173239259324417	6252	0
830097400375152640	3300	10467
829878982036299777	5506	0
829861396166877184	2147	13040
829501995190984704	11628	33804
829449946868879360	2221	11142
829374341691346946	10209	36905
829141528400556032	8131	26134
829011960981237760	17774	56466
828801551087042563	3727	0
828770345708580865	6451	27244
828708714936930305	12312	39039
828650029636317184	1478	10129
828409743546925057	1264	6702
828408677031882754	1408	8146
828381636999917570	2436	13467
828376505180889089	1167	7880
828372645993398273	3221	13362
828361771580813312	186	2341
828046555563323392	3145	12550
828011680017821696	2357	11054
827933404142436356	5731	21490
827653905312006145	3304	16464
827600520311402496	1042	7903
827324948884643840	3364	16954
827199976799354881	2462	11295
826958653328592898	5506	23057
826848821049180160	11249	38972
826615380357632002	4331	0
826598799820865537	281	5467
826598365270007810	2578	10760
826476773533745153	4611	19675
826240494070030336	2844	14174
826204788643753985	1025	5216
826115272272650244	3447	16745
825876512159186944	2053	11182
825829644528148480	2737	13620
825535076884762624	18929	55665
825147591692263424	5029	19557
825120256414846976	1418	0
825026590719483904	1418	6796
824796380199809024	6038	0
824775126675836928	3878	16005
824663926340194305	1910	10786
824325613288833024	11429	12599
824297048279236611	4254	16088
824025158776213504	651	5108
823939628516474880	2986	11403
823719002937630720	12375	0
823699002998870016	2662	13459
823581115634085888	2914	13961
823333489516937216	29	750
823322678127919110	4429	16877
823269594223824897	10872	0
822975315408461824	3794	18522
822872901745569793	48387	141816
822859134160621569	2509	14146
822647212903690241	7073	0
822610361945911296	3264	15824
822489057087389700	7073	19452
822462944365645825	16217	30578
822244816520155136	10872	37571
822163064745328640	5307	0
821886076407029760	2584	12180
821813639212650496	3688	0
821765923262631936	1838	9038
821522889702862852	1951	8602
821421320206483457	6173	0
821407182352777218	4810	12631
821153421864615936	10	272
821149554670182400	2222	9363
821107785811234820	2347	10298
821044531881721856	2529	13593
820837357901512704	7381	0
820749716845686786	10968	33872
820690176645140481	3559	13093
820494788566847489	627	0
820446719150292993	2848	0
820314633777061888	627	3577
820078625395449857	6938	21256
820013781606658049	1307	0
819952236453363712	1307	5714
819924195358416896	5346	13817
819711362133872643	3469	14452
819588359383371776	2174	10278
819347104292290561	1334	7753
819238181065359361	448	2462
819227688460238848	7381	24810
819015337530290176	40499	0
819015331746349057	20897	0
819006400881917954	20897	48470
819004803107983360	40499	92780
818646164899774465	23077	0
818627210458333184	8236	23858
818614493328580609	2857	10602
818588835076603904	6804	0
818536468981415936	2745	11727
818307523543449600	8999	0
818259473185828864	2532	11856
818145370475810820	2880	13216
817908911860748288	871	5206
817827839487737858	30032	55781
817777686764523521	2951	11501
817536400337801217	3358	12685
817502432452313088	3757	0
817423860136083457	16602	36832
817415592588222464	1067	6052
817181837579653120	9426	0
817171292965273600	2226	9391
817120970343411712	2902	13085
817056546584727552	1829	9220
816829038950027264	5226	0
816816676327063552	2254	10748
816697700272001025	2443	10552
816450570814898180	8999	32909
816336735214911488	2166	9258
816091915477250048	2383	9610
816062466425819140	1161	0
816014286006976512	5885	0
815990720817401858	1161	5384
815966073409433600	9426	24179
815745968457060357	4583	0
815736392542261248	2515	10590
815639385530101762	1827	8847
815390420867969024	4219	11143
814986499976527872	1433	8224
814638523311648768	3006	12152
814578408554463233	6450	0
814530161257443328	2056	9330
814153002265309185	9649	30981
813944609378369540	3566	0
813910438903693312	2093	10003
813812741911748608	15541	39163
813800681631023104	1957	8990
813217897535406080	8095	20145
813202720496779264	1997	9889
813187593374461952	4840	21380
813172488309972993	2123	10056
813157409116065792	2460	8354
813142292504645637	2621	9070
813130366689148928	492	4816
813127251579564032	3471	12791
813112105746448384	3062	11146
813096984823349248	4004	11346
813081950185472002	3075	10649
813066809284972545	2157	8583
813051746834595840	8135	22593
812781120811126785	2119	8171
812747805718642688	7708	0
812709060537683968	1590	7136
812503143955202048	1360	6562
812466873996607488	2137	8617
812372279581671427	4078	14779
811985624773361665	1555	7829
811744202451197953	1789	8149
811647686436880384	824	6026
811627233043480576	3483	13827
811386762094317568	7106	22549
810984652412424192	1589	5754
810896069567610880	1988	9763
810657578271330305	2932	11829
810284430598270976	12688	38283
810254108431155201	3727	15843
809920764300447744	4331	16716
809808892968534016	5449	0
809448704142938112	1634	7476
809220051211603969	6252	21526
